5760_4608_144_cpmBG ;R: 0.200000; EM: 1; MIN ERR: 50; MAX ITR: 50; ER_EA: 0; Br_LEN: 0 q_step:0.125000

Q_bits: 8; Q_step: 0.125000;Algorithm: 1;Channel: 1

SNR	    iBER			 BER		   FER			ITR#
1.5000	2.263373e-01 1.389730e-01 7.812500e-01 47.000000
1.6000	2.237630e-01 9.778054e-02 5.681818e-01 43.409091
1.7000	2.211755e-01 7.031250e-02 4.807692e-01 39.865385
1.8000	2.181043e-01 3.590073e-02 2.463054e-01 34.113300
1.9000	2.156724e-01 1.315004e-02 9.615385e-02 28.451923
2.0000	2.128478e-01 4.506722e-03 4.212300e-02 24.506318
2.1000	2.103866e-01 1.405842e-03 1.176471e-02 21.360471
2.2000	2.075762e-01 4.558072e-04 3.823507e-03 18.836889
2.3000	2.049183e-01 9.002813e-05 7.527173e-04 17.120450
2.4000	2.022150e-01 1.350109e-05 1.140670e-04 15.719788
